POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
1Cover,Essential,50,Days,59,Days,60,69,309.4,618.8,618.8,261.2,522.4,522.4,219,438,438,165,330,330,,,
1Cover,Essential,60,Days,89,Days,60,69,405,810,810,315,630,630,285,570,570,215,430,430,,,
1Cover,Essential,90,Days,119,Days,60,69,485,970,970,385,770,770,349,698,698,259,518,518,,,
1Cover,Essential,120,Days,149,Days,60,69,585,1170,1170,429,858,858,415,830,830,298,596,596,,,
1Cover,Essential,150,Days,179,Days,60,69,609,1218,1218,491,982,982,468,936,936,355.6,711.2,711.2,,,
1Cover,Essential,180,Days,209,Days,60,69,729.4,1458.8,1458.8,578,1156,1156,558.6,1117.2,1117.2,395,790,790,,,
1Cover,Essential,210,Days,239,Days,60,69,791,1582,1582,645,1290,1290,597.8,1195.6,1195.6,439,878,878,,,
1Cover,Essential,240,Days,269,Days,60,69,861,1722,1722,690,1380,1380,670.6,1341.2,1341.2,470,940,940,,,
1Cover,Essential,270,Days,299,Days,60,69,928,1856,1856,775,1550,1550,730.8,1461.6,1461.6,538,1076,1076,,,
1Cover,Essential,300,Days,329,Days,60,69,998,1996,1996,821,1642,1642,774.2,1548.4,1548.4,579,1158,1158,,,
1Cover,Essential,330,Days,366,Days,60,69,1040,2080,2080,872.2,1744.4,1744.4,790,1580,1580,601,1202,1202,,,
1Cover,Essential,1,Days,5,Days,70,74,136,272,272,116.7,233.4,233.4,92.2,184.4,184.4,78.8,157.6,157.6,,,
1Cover,Essential,6,Days,8,Days,70,74,136,272,272,122.6,245.2,245.2,98,196,196,84.4,168.8,168.8,,,
1Cover,Essential,9,Days,12,Days,70,74,144.1,288.2,288.2,130.7,261.4,261.4,114.3,228.6,228.6,88.3,176.6,176.6,,,
1Cover,Essential,13,Days,16,Days,70,74,161.9,323.8,323.8,158,316,316,137.7,275.4,275.4,98,196,196,,,
1Cover,Essential,17,Days,24,Days,70,74,186.4,372.8,372.8,185.5,371,371,169.8,339.6,339.6,111.5,223,223,,,
1Cover,Essential,25,Days,28,Days,70,74,297.8,595.6,595.6,265.2,530.4,530.4,214.9,429.8,429.8,150.5,301,301,,,
1Cover,Essential,29,Days,34,Days,70,74,333.4,666.8,666.8,300.7,601.4,601.4,244.6,489.2,489.2,190.2,380.4,380.4,,,
1Cover,Essential,35,Days,42,Days,70,74,424.7,849.4,849.4,381.2,762.4,762.4,324.9,649.8,649.8,225.8,451.6,451.6,,,
1Cover,Essential,43,Days,49,Days,70,74,467.9,935.8,935.8,400.2,800.4,800.4,357.9,715.8,715.8,265.2,530.4,530.4,,,
1Cover,Essential,50,Days,59,Days,70,74,525.1,1050.2,1050.2,453,906,906,416.5,833,833,281.5,563,563,,,
1Cover,Essential,60,Days,89,Days,70,74,691.3,1382.6,1382.6,552.5,1105,1105,519.8,1039.6,1039.6,381,762,762,,,
1Cover,Essential,90,Days,119,Days,70,74,838.3,1676.6,1676.6,675,1350,1350,611.1,1222.2,1222.2,455.9,911.8,911.8,,,
1Cover,Essential,120,Days,149,Days,70,74,963.7,1927.4,1927.4,741.7,1483.4,1483.4,698,1396,1396,525.1,1050.2,1050.2,,,
1Cover,Essential,150,Days,179,Days,70,74,1050.6,2101.2,2101.2,841.2,1682.4,1682.4,789.3,1578.6,1578.6,578.4,1156.8,1156.8,,,
1Cover,Essential,180,Days,209,Days,70,74,1186.6,2373.2,2373.2,980,1960,1960,908.9,1817.8,1817.8,691.3,1382.6,1382.6,,,
1Cover,Essential,210,Days,239,Days,70,74,1317.2,2634.4,2634.4,1088.6,2177.2,2177.2,971.8,1943.6,1943.6,801.1,1602.2,1602.2,,,
1Cover,Essential,240,Days,269,Days,70,74,1468.6,2937.2,2937.2,1186.6,2373.2,2373.2,1091.5,2183,2183,857.5,1715,1715,,,
1Cover,Essential,270,Days,299,Days,70,74,1594.9,3189.8,3189.8,1292.7,2585.4,2585.4,1189.5,2379,2379,931,1862,1862,,,
1Cover,Essential,300,Days,329,Days,70,74,1721.7,3443.4,3443.4,1347.5,2695,2695,1257.7,2515.4,2515.4,1026.7,2053.4,2053.4,,,
1Cover,Essential,330,Days,366,Days,70,74,1796.7,3593.4,3593.4,1419.6,2839.2,2839.2,1317.2,2634.4,2634.4,1047.7,2095.4,2095.4,,,
1Cover,Basic,1,Days,5,Days,0,59,41.9,83.8,83.8,38.5,77,77,34.7,69.4,69.4,23.6,47.2,47.2,,,
1Cover,Basic,6,Days,8,Days,0,59,45.1,90.2,90.2,39.8,79.6,79.6,35.7,71.4,71.4,24.8,49.6,49.6,,,
1Cover,Basic,9,Days,12,Days,0,59,49.7,99.4,99.4,45.5,91,91,39.4,78.8,78.8,29.6,59.2,59.2,,,
1Cover,Basic,13,Days,16,Days,0,59,55.1,110.2,110.2,50.5,101,101,44.6,89.2,89.2,33.5,67,67,,,
1Cover,Basic,17,Days,24,Days,0,59,73.9,147.8,147.8,65.9,131.8,131.8,56.7,113.4,113.4,41.9,83.8,83.8,,,
1Cover,Basic,25,Days,28,Days,0,59,96.2,192.4,192.4,87.5,175,175,69,138,138,53.9,107.8,107.8,,,
1Cover,Basic,29,Days,34,Days,0,59,98.4,196.8,196.8,87.7,175.4,175.4,73.1,146.2,146.2,56.4,112.8,112.8,,,
1Cover,Basic,35,Days,42,Days,0,59,172.2,344.4,344.4,129.2,258.4,258.4,129,258,258,92.4,184.8,184.8,,,
1Cover,Basic,43,Days,49,Days,0,59,179,358,358,149.9,299.8,299.8,137.2,274.4,274.4,98,196,196,,,
1Cover,Basic,50,Days,59,Days,0,59,191,382,382,165,330,330,157,314,314,105,210,210,,,
1Cover,Basic,60,Days,89,Days,0,59,241,482,482,182,364,364,172.2,344.4,344.4,126,252,252,,,
1Cover,Basic,90,Days,119,Days,0,59,295,590,590,224,448,448,201.6,403.2,403.2,149.8,299.6,299.6,,,
1Cover,Basic,120,Days,149,Days,0,59,339,678,678,245,490,490,228.2,456.4,456.4,170.8,341.6,341.6,,,
1Cover,Basic,150,Days,179,Days,0,59,375,750,750,285.6,571.2,571.2,268.8,537.6,537.6,196,392,392,,,
