POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Woolworths Travel Insurance,Basic,180,days,209,days,60,69,525.85,1051.7,1051.7,401.63,803.26,803.26,377.23,754.45,754.45,298.01,596.01,596.01,284.43,568.86,568.86,334.77,669.53,669.53
Woolworths Travel Insurance,Basic,210,days,239,days,60,69,579.41,1158.83,1158.83,441.36,882.71,882.71,414.19,828.38,828.38,328.19,656.37,656.37,314.6,629.21,629.21,370.28,740.55,740.55
Woolworths Travel Insurance,Basic,240,days,269,days,60,69,637.51,1275.01,1275.01,485.48,970.97,970.97,454.94,909.88,909.88,362.14,724.27,724.27,343.28,686.55,686.55,404.02,808.05,808.05
Woolworths Travel Insurance,Basic,270,days,299,days,60,69,691.83,1383.66,1383.66,527.42,1054.84,1054.84,488.89,977.78,977.78,390.05,780.09,780.09,371.19,742.38,742.38,436.87,873.75,873.75
Woolworths Travel Insurance,Basic,300,days,329,days,60,69,745.4,1490.8,1490.8,567.88,1135.76,1135.76,526.61,1053.21,1053.21,422.5,845,845,402.88,805.75,805.75,474.17,948.34,948.34
Woolworths Travel Insurance,Basic,330,days,366,days,60,69,786.88,1573.77,1573.77,601.72,1203.44,1203.44,556.03,1112.07,1112.07,446.64,893.28,893.28,427.02,854.04,854.04,502.59,1005.17,1005.17
Woolworths Travel Insurance,Basic,3,days,3,days,70,74,37.89,75.77,75.77,33.78,67.56,67.56,30.3,60.6,60.6,28.14,56.28,56.28,28.14,56.28,56.28,33.12,66.24,66.24
Woolworths Travel Insurance,Basic,4,days,4,days,70,74,51.95,103.91,103.91,44.33,88.66,88.66,40.05,80.1,80.1,37.89,75.77,75.77,37.89,75.77,75.77,44.59,89.18,89.18
Woolworths Travel Insurance,Basic,5,days,5,days,70,74,64.94,129.89,129.89,54.89,109.77,109.77,49.79,99.59,99.59,48.72,97.44,97.44,41.13,82.27,82.27,48.41,96.82,96.82
Woolworths Travel Insurance,Basic,6,days,6,days,70,74,74.69,149.38,149.38,65.44,130.87,130.87,56.29,112.59,112.59,51.95,103.91,103.91,42.22,84.44,84.44,49.69,99.38,99.38
Woolworths Travel Insurance,Basic,7,days,7,days,70,74,84.44,168.87,168.87,72.82,145.64,145.64,64.94,129.89,129.89,55.21,110.42,110.42,45.46,90.93,90.93,53.51,107.02,107.02
Woolworths Travel Insurance,Basic,8,days,8,days,70,74,89.85,179.7,179.7,75.99,151.97,151.97,67.11,134.23,134.23,56.29,112.59,112.59,46.55,93.1,93.1,54.79,109.57,109.57
Woolworths Travel Insurance,Basic,9,days,9,days,70,74,84.44,168.87,168.87,81.27,162.54,162.54,70.36,140.72,140.72,58.45,116.91,116.91,48.72,97.44,97.44,57.34,114.68,114.68
Woolworths Travel Insurance,Basic,10,days,10,days,70,74,88.76,177.51,177.51,84.44,168.87,168.87,73.6,147.21,147.21,59.53,119.06,119.06,49.79,99.59,99.59,58.6,117.21,117.21
Woolworths Travel Insurance,Basic,11,days,11,days,70,74,93.09,186.17,186.17,87.6,175.2,175.2,76.85,153.7,153.7,61.7,123.4,123.4,50.88,101.76,101.76,59.88,119.76,119.76
Woolworths Travel Insurance,Basic,12,days,12,days,70,74,98.5,197,197,92.87,185.75,185.75,80.11,160.21,160.21,62.78,125.57,125.57,53.04,106.08,106.08,62.42,124.85,124.85
Woolworths Travel Insurance,Basic,13,days,13,days,70,74,103.92,207.83,207.83,96.04,192.08,192.08,81.18,162.36,162.36,64.94,129.89,129.89,54.12,108.25,108.25,63.7,127.4,127.4
Woolworths Travel Insurance,Basic,14,days,14,days,70,74,108.25,216.49,216.49,100.26,200.52,200.52,84.44,168.87,168.87,67.11,134.23,134.23,55.21,110.42,110.42,64.98,129.96,129.96
Woolworths Travel Insurance,Basic,15,days,15,days,70,74,111.49,222.98,222.98,102.38,204.76,204.76,88.76,177.51,177.51,68.2,136.4,136.4,57.37,114.74,114.74,67.52,135.04,135.04
Woolworths Travel Insurance,Basic,16,days,16,days,70,74,113.66,227.32,227.32,105.54,211.09,211.09,89.85,179.7,179.7,70.36,140.72,140.72,67.11,134.23,134.23,78.99,157.98,157.98
Woolworths Travel Insurance,Basic,17,days,17,days,70,74,117.99,235.99,235.99,108.71,217.42,217.42,93.09,186.17,186.17,71.43,142.87,142.87,68.2,136.4,136.4,80.27,160.54,160.54
Woolworths Travel Insurance,Basic,18,days,18,days,70,74,138.56,277.12,277.12,111.87,223.75,223.75,95.26,190.51,190.51,74.69,149.38,149.38,70.36,140.72,140.72,82.81,165.62,165.62
