POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Virgin Money,Comprehensive,124,Days,153,Days,16,24,479.47,958.94,958.94,413.56,827.12,827.12,391.02,782.04,782.04,337.65,675.3,675.3,301.84,603.68,603.68,,,,,,
Virgin Money,Comprehensive,154,Days,184,Days,16,24,539.02,1078.04,1078.04,466.48,932.96,932.96,439.38,878.76,878.76,380.64,761.28,761.28,340.06,680.12,680.12,,,,,,
Virgin Money,Comprehensive,185,Days,215,Days,16,24,620.78,1241.56,1241.56,536.06,1072.12,1072.12,507.3,1014.6,1014.6,438.31,876.62,876.62,392,784,784,,,,,,
Virgin Money,Comprehensive,216,Days,245,Days,16,24,685.38,1370.76,1370.76,590.94,1181.88,1181.88,558.75,1117.5,1117.5,484.45,968.9,968.9,433.16,866.32,866.32,,,,,,
Virgin Money,Comprehensive,246,Days,276,Days,16,24,750.99,1501.98,1501.98,648.76,1297.52,1297.52,611.23,1222.46,1222.46,530.59,1061.18,1061.18,473.34,946.68,946.68,,,,,,
Virgin Money,Comprehensive,277,Days,306,Days,16,24,811.56,1623.12,1623.12,700.7,1401.4,1401.4,662.68,1325.36,1325.36,573.58,1147.16,1147.16,513.52,1027.04,1027.04,,,,,,
Virgin Money,Comprehensive,307,Days,337,Days,16,24,881.21,1762.42,1762.42,761.46,1522.92,1522.92,718.24,1436.48,1436.48,622.87,1245.74,1245.74,556.64,1113.28,1113.28,,,,,,
Virgin Money,Comprehensive,338,Days,365,Days,16,24,926.63,1853.26,1853.26,801.64,1603.28,1603.28,756.32,1512.64,1512.64,656.42,1312.84,1312.84,585.06,1170.12,1170.12,,,,,,
Virgin Money,Comprehensive,1,Days,3,Days,25,49,59.35,118.7,118.7,52.82,105.64,105.64,49.41,98.82,98.82,42.13,84.26,84.26,37.46,74.92,74.92,,,,,,
Virgin Money,Comprehensive,4,Days,4,Days,25,49,60.34,120.68,120.68,52.82,105.64,105.64,50.42,100.84,100.84,43.16,86.32,86.32,38.42,76.84,76.84,,,,,,
Virgin Money,Comprehensive,5,Days,5,Days,25,49,62.32,124.64,124.64,53.78,107.56,107.56,51.43,102.86,102.86,44.19,88.38,88.38,39.38,78.76,78.76,,,,,,
Virgin Money,Comprehensive,6,Days,6,Days,25,49,77.16,154.32,154.32,67.23,134.46,134.46,62.52,125.04,125.04,55.49,110.98,110.98,48.98,97.96,97.96,,,,,,
Virgin Money,Comprehensive,7,Days,7,Days,25,49,78.15,156.3,156.3,68.19,136.38,136.38,63.53,127.06,127.06,55.49,110.98,110.98,49.94,99.88,99.88,,,,,,
Virgin Money,Comprehensive,8,Days,8,Days,25,49,79.14,158.28,158.28,68.19,136.38,136.38,64.54,129.08,129.08,56.52,113.04,113.04,50.9,101.8,101.8,,,,,,
Virgin Money,Comprehensive,9,Days,9,Days,25,49,81.11,162.22,162.22,69.15,138.3,138.3,65.55,131.1,131.1,57.55,115.1,115.1,51.86,103.72,103.72,,,,,,
Virgin Money,Comprehensive,10,Days,10,Days,25,49,83.09,166.18,166.18,71.07,142.14,142.14,67.56,135.12,135.12,58.57,117.14,117.14,52.82,105.64,105.64,,,,,,
Virgin Money,Comprehensive,11,Days,11,Days,25,49,85.07,170.14,170.14,73.95,147.9,147.9,69.58,139.16,139.16,59.6,119.2,119.2,53.78,107.56,107.56,,,,,,
Virgin Money,Comprehensive,12,Days,12,Days,25,49,88.04,176.08,176.08,75.87,151.74,151.74,71.6,143.2,143.2,61.66,123.32,123.32,54.74,109.48,109.48,,,,,,
Virgin Money,Comprehensive,13,Days,13,Days,25,49,89.03,178.06,178.06,76.83,153.66,153.66,71.6,143.2,143.2,62.68,125.36,125.36,55.7,111.4,111.4,,,,,,
Virgin Money,Comprehensive,14,Days,14,Days,25,49,91,182,182,78.75,157.5,157.5,73.62,147.24,147.24,63.71,127.42,127.42,56.66,113.32,113.32,,,,,,
Virgin Money,Comprehensive,15,Days,15,Days,25,49,94.96,189.92,189.92,82.59,165.18,165.18,76.64,153.28,153.28,66.8,133.6,133.6,59.54,119.08,119.08,,,,,,
Virgin Money,Comprehensive,16,Days,16,Days,25,49,96.94,193.88,193.88,83.55,167.1,167.1,79.66,159.32,159.32,68.85,137.7,137.7,61.47,122.94,122.94,,,,,,
Virgin Money,Comprehensive,17,Days,17,Days,25,49,102.88,205.76,205.76,89.32,178.64,178.64,84.71,169.42,169.42,72.96,145.92,145.92,65.31,130.62,130.62,,,,,,
Virgin Money,Comprehensive,18,Days,18,Days,25,49,105.85,211.7,211.7,92.2,184.4,184.4,86.72,173.44,173.44,75.02,150.04,150.04,67.23,134.46,134.46,,,,,,
Virgin Money,Comprehensive,19,Days,19,Days,25,49,110.79,221.58,221.58,96.04,192.08,192.08,90.76,181.52,181.52,78.1,156.2,156.2,69.15,138.3,138.3,,,,,,
Virgin Money,Comprehensive,20,Days,20,Days,25,49,111.78,223.56,223.56,96.04,192.08,192.08,90.76,181.52,181.52,79.13,158.26,158.26,70.11,140.22,140.22,,,,,,
Virgin Money,Comprehensive,21,Days,21,Days,25,49,114.75,229.5,229.5,97.96,195.92,195.92,93.79,187.58,187.58,81.18,162.36,162.36,72.03,144.06,144.06,,,,,,
Virgin Money,Comprehensive,22,Days,22,Days,25,49,118.71,237.42,237.42,102.76,205.52,205.52,96.8,193.6,193.6,84.27,168.54,168.54,74.91,149.82,149.82,,,,,,
Virgin Money,Comprehensive,23,Days,23,Days,25,49,122.67,245.34,245.34,105.64,211.28,211.28,99.83,199.66,199.66,87.35,174.7,174.7,77.79,155.58,155.58,,,,,,
Virgin Money,Comprehensive,24,Days,24,Days,25,49,125.63,251.26,251.26,108.53,217.06,217.06,101.85,203.7,203.7,88.38,176.76,176.76,79.71,159.42,159.42,,,,,,
Virgin Money,Comprehensive,25,Days,25,Days,25,49,131.57,263.14,263.14,113.33,226.66,226.66,106.89,213.78,213.78,93.51,187.02,187.02,82.59,165.18,165.18,,,,,,
Virgin Money,Comprehensive,26,Days,26,Days,25,49,138.49,276.98,276.98,120.05,240.1,240.1,112.95,225.9,225.9,98.66,197.32,197.32,87.4,174.8,174.8,,,,,,
Virgin Money,Comprehensive,27,Days,27,Days,25,49,142.44,284.88,284.88,123.89,247.78,247.78,116.97,233.94,233.94,100.7,201.4,201.4,90.28,180.56,180.56,,,,,,
Virgin Money,Comprehensive,28,Days,28,Days,25,49,147.39,294.78,294.78,127.73,255.46,255.46,120,240,240,104.82,209.64,209.64,93.16,186.32,186.32,,,,,,
Virgin Money,Comprehensive,29,Days,29,Days,25,49,150.36,300.72,300.72,129.65,259.3,259.3,123.03,246.06,246.06,105.85,211.7,211.7,95.08,190.16,190.16,,,,,,
Virgin Money,Comprehensive,30,Days,30,Days,25,49,151.35,302.7,302.7,130.61,261.22,261.22,124.04,248.08,248.08,106.87,213.74,213.74,96.04,192.08,192.08,,,,,,
Virgin Money,Comprehensive,31,Days,31,Days,25,49,152.34,304.68,304.68,130.61,261.22,261.22,124.04,248.08,248.08,106.87,213.74,213.74,96.04,192.08,192.08,,,,,,
Virgin Money,Comprehensive,32,Days,32,Days,25,49,153.33,306.66,306.66,131.57,263.14,263.14,125.05,250.1,250.1,107.9,215.8,215.8,97,194,194,,,,,,
Virgin Money,Comprehensive,33,Days,33,Days,25,49,160.25,320.5,320.5,138.3,276.6,276.6,131.09,262.18,262.18,113.04,226.08,226.08,99.88,199.76,199.76,,,,,,
Virgin Money,Comprehensive,34,Days,34,Days,25,49,162.23,324.46,324.46,139.26,278.52,278.52,132.1,264.2,264.2,114.06,228.12,228.12,101.8,203.6,203.6,,,,,,
Virgin Money,Comprehensive,35,Days,35,Days,25,49,165.2,330.4,330.4,143.1,286.2,286.2,134.12,268.24,268.24,117.15,234.3,234.3,103.72,207.44,207.44,,,,,,
Virgin Money,Comprehensive,36,Days,36,Days,25,49,169.16,338.32,338.32,145.98,291.96,291.96,137.14,274.28,274.28,119.21,238.42,238.42,106.6,213.2,213.2,,,,,,
Virgin Money,Comprehensive,37,Days,37,Days,25,49,170.15,340.3,340.3,146.94,293.88,293.88,138.15,276.3,276.3,121.26,242.52,242.52,107.56,215.12,215.12,,,,,,
Virgin Money,Comprehensive,38,Days,38,Days,25,49,174.1,348.2,348.2,150.78,301.56,301.56,142.19,284.38,284.38,123.31,246.62,246.62,110.45,220.9,220.9,,,,,,
Virgin Money,Comprehensive,39,Days,39,Days,25,49,177.07,354.14,354.14,153.66,307.32,307.32,144.21,288.42,288.42,125.37,250.74,250.74,112.37,224.74,224.74,,,,,,
Virgin Money,Comprehensive,40,Days,40,Days,25,49,180.04,360.08,360.08,156.55,313.1,313.1,147.23,294.46,294.46,127.43,254.86,254.86,113.33,226.66,226.66,,,,,,
Virgin Money,Comprehensive,41,Days,41,Days,25,49,189.92,379.84,379.84,164.23,328.46,328.46,154.29,308.58,308.58,134.62,269.24,269.24,120.05,240.1,240.1,,,,,,
Virgin Money,Comprehensive,42,Days,42,Days,25,49,194.87,389.74,389.74,168.07,336.14,336.14,159.33,318.66,318.66,136.67,273.34,273.34,123.89,247.78,247.78,,,,,,
Virgin Money,Comprehensive,43,Days,43,Days,25,49,202.79,405.58,405.58,173.83,347.66,347.66,165.38,330.76,330.76,142.84,285.68,285.68,127.73,255.46,255.46,,,,,,
Virgin Money,Comprehensive,44,Days,44,Days,25,49,205.76,411.52,411.52,176.71,353.42,353.42,167.39,334.78,334.78,144.89,289.78,289.78,128.69,257.38,257.38,,,,,,
