POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
1Cover,Comprehensive,24,Days,24,Days,60,69,175.00,350.00,350.00,153.00,306.00,306.00,127.00,254.00,254.00,96.00,192.00,192.00,,,
1Cover,Comprehensive,25,Days,25,Days,60,69,181.00,362.00,362.00,163.00,326.00,326.00,134.00,268.00,268.00,99.00,198.00,198.00,,,
1Cover,Comprehensive,26,Days,26,Days,60,69,187.00,374.00,374.00,169.00,338.00,338.00,137.00,274.00,274.00,100.00,200.00,200.00,,,
1Cover,Comprehensive,27,Days,27,Days,60,69,189.00,378.00,378.00,173.00,346.00,346.00,139.00,278.00,278.00,101.00,202.00,202.00,,,
1Cover,Comprehensive,28,Days,28,Days,60,69,199.00,398.00,398.00,177.00,354.00,354.00,141.00,282.00,282.00,103.00,206.00,206.00,,,
1Cover,Comprehensive,29,Days,29,Days,60,69,217.00,434.00,434.00,187.00,374.00,374.00,153.00,306.00,306.00,107.00,214.00,214.00,,,
1Cover,Comprehensive,30,Days,30,Days,60,69,219.00,438.00,438.00,191.00,382.00,382.00,157.00,314.00,314.00,109.00,218.00,218.00,,,
1Cover,Comprehensive,31,Days,31,Days,60,69,221.00,442.00,442.00,193.00,386.00,386.00,159.00,318.00,318.00,111.00,222.00,222.00,,,
1Cover,Comprehensive,32,Days,32,Days,60,69,225.00,450.00,450.00,195.00,390.00,390.00,161.00,322.00,322.00,113.00,226.00,226.00,,,
1Cover,Comprehensive,33,Days,33,Days,60,69,229.00,458.00,458.00,199.00,398.00,398.00,163.00,326.00,326.00,115.00,230.00,230.00,,,
1Cover,Comprehensive,34,Days,34,Days,60,69,243.00,486.00,486.00,209.00,418.00,418.00,165.00,330.00,330.00,119.00,238.00,238.00,,,
1Cover,Comprehensive,35,Days,35,Days,60,69,265.00,530.00,530.00,225.00,450.00,450.00,173.00,346.00,346.00,123.00,246.00,246.00,,,
1Cover,Comprehensive,36,Days,36,Days,60,69,271.00,542.00,542.00,235.00,470.00,470.00,185.00,370.00,370.00,129.00,258.00,258.00,,,
1Cover,Comprehensive,37,Days,37,Days,60,69,275.00,550.00,550.00,238.00,476.00,476.00,191.00,382.00,382.00,135.00,270.00,270.00,,,
1Cover,Comprehensive,38,Days,38,Days,60,69,281.00,562.00,562.00,241.00,482.00,482.00,195.00,390.00,390.00,141.00,282.00,282.00,,,
1Cover,Comprehensive,39,Days,39,Days,60,69,287.00,574.00,574.00,243.00,486.00,486.00,197.00,394.00,394.00,147.00,294.00,294.00,,,
1Cover,Comprehensive,40,Days,40,Days,60,69,291.00,582.00,582.00,245.00,490.00,490.00,203.00,406.00,406.00,153.00,306.00,306.00,,,
1Cover,Comprehensive,41,Days,41,Days,60,69,293.00,586.00,586.00,247.00,494.00,494.00,207.00,414.00,414.00,159.00,318.00,318.00,,,
1Cover,Comprehensive,42,Days,42,Days,60,69,295.00,590.00,590.00,249.00,498.00,498.00,211.00,422.00,422.00,165.00,330.00,330.00,,,
1Cover,Comprehensive,43,Days,43,Days,60,69,309.00,618.00,618.00,261.00,522.00,522.00,222.00,444.00,444.00,167.00,334.00,334.00,,,
1Cover,Comprehensive,44,Days,44,Days,60,69,313.00,626.00,626.00,265.00,530.00,530.00,225.00,450.00,450.00,169.00,338.00,338.00,,,
1Cover,Comprehensive,45,Days,45,Days,60,69,315.00,630.00,630.00,268.00,536.00,536.00,227.00,454.00,454.00,171.00,342.00,342.00,,,
1Cover,Comprehensive,46,Days,46,Days,60,69,317.00,634.00,634.00,271.00,542.00,542.00,229.00,458.00,458.00,173.00,346.00,346.00,,,
1Cover,Comprehensive,47,Days,47,Days,60,69,319.00,638.00,638.00,274.00,548.00,548.00,231.00,462.00,462.00,175.00,350.00,350.00,,,
1Cover,Comprehensive,48,Days,48,Days,60,69,321.00,642.00,642.00,277.00,554.00,554.00,234.00,468.00,468.00,177.00,354.00,354.00,,,
1Cover,Comprehensive,49,Days,49,Days,60,69,325.00,650.00,650.00,279.00,558.00,558.00,237.00,474.00,474.00,179.00,358.00,358.00,,,
1Cover,Comprehensive,50,Days,62,Days,60,69,355.00,710.00,710.00,299.00,598.00,598.00,265.00,530.00,530.00,189.00,378.00,378.00,,,
1Cover,Comprehensive,63,Days,92,Days,60,69,497.00,994.00,994.00,367.00,734.00,734.00,355.00,710.00,710.00,259.00,518.00,518.00,,,
1Cover,Comprehensive,93,Days,123,Days,60,69,575.00,1150.00,1150.00,465.00,930.00,930.00,449.00,898.00,898.00,339.00,678.00,678.00,,,
1Cover,Comprehensive,124,Days,153,Days,60,69,639.00,1278.00,1278.00,515.00,1030.00,1030.00,459.00,918.00,918.00,343.00,686.00,686.00,,,
1Cover,Comprehensive,154,Days,184,Days,60,69,728.00,1456.00,1456.00,575.00,1150.00,1150.00,529.00,1058.00,1058.00,399.00,798.00,798.00,,,
1Cover,Comprehensive,185,Days,215,Days,60,69,835.00,1670.00,1670.00,668.00,1336.00,1336.00,615.00,1230.00,1230.00,455.00,910.00,910.00,,,
1Cover,Comprehensive,216,Days,245,Days,60,69,895.00,1790.00,1790.00,734.00,1468.00,1468.00,665.00,1330.00,1330.00,499.00,998.00,998.00,,,
1Cover,Comprehensive,246,Days,276,Days,60,69,955.00,1910.00,1910.00,788.00,1576.00,1576.00,729.00,1458.00,1458.00,559.00,1118.00,1118.00,,,
1Cover,Comprehensive,277,Days,306,Days,60,69,1015.00,2030.00,2030.00,879.00,1758.00,1758.00,797.00,1594.00,1594.00,609.00,1218.00,1218.00,,,
1Cover,Comprehensive,307,Days,337,Days,60,69,1095.00,2190.00,2190.00,925.00,1850.00,1850.00,865.00,1730.00,1730.00,655.00,1310.00,1310.00,,,
1Cover,Comprehensive,338,Days,366,Days,60,69,1159.00,2318.00,2318.00,1015.00,2030.00,2030.00,945.00,1890.00,1890.00,689.00,1378.00,1378.00,,,
1Cover,Comprehensive,1,Days,1,Days,70,74,153.00,306.00,306.00,138.00,276.00,276.00,108.00,216.00,216.00,91.00,182.00,182.00,,,
1Cover,Comprehensive,2,Days,2,Days,70,74,153.00,306.00,306.00,138.00,276.00,276.00,108.00,216.00,216.00,91.00,182.00,182.00,,,
1Cover,Comprehensive,3,Days,3,Days,70,74,153.00,306.00,306.00,140.00,280.00,280.00,108.00,216.00,216.00,91.00,182.00,182.00,,,
1Cover,Comprehensive,4,Days,4,Days,70,74,159.00,318.00,318.00,142.00,284.00,284.00,110.00,220.00,220.00,95.00,190.00,190.00,,,
1Cover,Comprehensive,5,Days,5,Days,70,74,165.00,330.00,330.00,144.00,288.00,288.00,114.00,228.00,228.00,97.00,194.00,194.00,,,
1Cover,Comprehensive,6,Days,6,Days,70,74,169.00,338.00,338.00,154.00,308.00,308.00,130.00,260.00,260.00,99.00,198.00,198.00,,,
1Cover,Comprehensive,7,Days,7,Days,70,74,173.00,346.00,346.00,164.00,328.00,328.00,134.00,268.00,268.00,101.00,202.00,202.00,,,
1Cover,Comprehensive,8,Days,8,Days,70,74,179.00,358.00,358.00,170.00,340.00,340.00,140.00,280.00,280.00,109.00,218.00,218.00,,,
1Cover,Comprehensive,9,Days,9,Days,70,74,197.00,394.00,394.00,180.00,360.00,360.00,152.00,304.00,304.00,113.00,226.00,226.00,,,
1Cover,Comprehensive,10,Days,10,Days,70,74,207.00,414.00,414.00,184.00,368.00,368.00,157.00,314.00,314.00,116.00,232.00,232.00,,,
1Cover,Comprehensive,11,Days,11,Days,70,74,217.00,434.00,434.00,188.00,376.00,376.00,161.00,322.00,322.00,119.00,238.00,238.00,,,
1Cover,Comprehensive,12,Days,12,Days,70,74,227.00,454.00,454.00,194.00,388.00,388.00,164.00,328.00,328.00,121.00,242.00,242.00,,,
1Cover,Comprehensive,13,Days,13,Days,70,74,235.00,470.00,470.00,200.00,400.00,400.00,168.00,336.00,336.00,125.00,250.00,250.00,,,
1Cover,Comprehensive,14,Days,14,Days,70,74,245.00,490.00,490.00,206.00,412.00,412.00,172.00,344.00,344.00,128.00,256.00,256.00,,,
1Cover,Comprehensive,15,Days,15,Days,70,74,247.00,494.00,494.00,214.00,428.00,428.00,176.00,352.00,352.00,131.00,262.00,262.00,,,
1Cover,Comprehensive,16,Days,16,Days,70,74,257.00,514.00,514.00,220.00,440.00,440.00,178.00,356.00,356.00,133.00,266.00,266.00,,,
1Cover,Comprehensive,17,Days,17,Days,70,74,267.00,534.00,534.00,230.00,460.00,460.00,186.00,372.00,372.00,139.00,278.00,278.00,,,
1Cover,Comprehensive,18,Days,18,Days,70,74,277.00,554.00,554.00,244.00,488.00,488.00,192.00,384.00,384.00,143.00,286.00,286.00,,,
1Cover,Comprehensive,19,Days,19,Days,70,74,287.00,574.00,574.00,248.00,496.00,496.00,199.00,398.00,398.00,147.00,294.00,294.00,,,
1Cover,Comprehensive,20,Days,20,Days,70,74,295.00,590.00,590.00,254.00,508.00,508.00,206.00,412.00,412.00,153.00,306.00,306.00,,,
1Cover,Comprehensive,21,Days,21,Days,70,74,301.00,602.00,602.00,260.00,520.00,520.00,212.00,424.00,424.00,159.00,318.00,318.00,,,
1Cover,Comprehensive,22,Days,22,Days,70,74,305.00,610.00,610.00,268.00,536.00,536.00,218.00,436.00,436.00,163.00,326.00,326.00,,,
1Cover,Comprehensive,23,Days,23,Days,70,74,313.00,626.00,626.00,276.00,552.00,552.00,228.00,456.00,456.00,171.00,342.00,342.00,,,
1Cover,Comprehensive,24,Days,24,Days,70,74,321.00,642.00,642.00,282.00,564.00,564.00,236.00,472.00,472.00,177.00,354.00,354.00,,,
1Cover,Comprehensive,25,Days,25,Days,70,74,333.00,666.00,666.00,290.00,580.00,580.00,242.00,484.00,484.00,179.00,358.00,358.00,,,
1Cover,Comprehensive,26,Days,26,Days,70,74,343.00,686.00,686.00,299.00,598.00,598.00,247.00,494.00,494.00,181.00,362.00,362.00,,,
1Cover,Comprehensive,27,Days,27,Days,70,74,353.00,706.00,706.00,304.00,608.00,608.00,252.00,504.00,504.00,183.00,366.00,366.00,,,
1Cover,Comprehensive,28,Days,28,Days,70,74,363.00,726.00,726.00,310.00,620.00,620.00,256.00,512.00,512.00,189.00,378.00,378.00,,,
1Cover,Comprehensive,29,Days,29,Days,70,74,381.00,762.00,762.00,319.00,638.00,638.00,274.00,548.00,548.00,195.00,390.00,390.00,,,
1Cover,Comprehensive,30,Days,30,Days,70,74,393.00,786.00,786.00,328.00,656.00,656.00,278.00,556.00,556.00,201.00,402.00,402.00,,,
1Cover,Comprehensive,31,Days,31,Days,70,74,399.00,798.00,798.00,335.00,670.00,670.00,281.00,562.00,562.00,205.00,410.00,410.00,,,
1Cover,Comprehensive,32,Days,32,Days,70,74,413.00,826.00,826.00,345.00,690.00,690.00,283.00,566.00,566.00,211.00,422.00,422.00,,,
1Cover,Comprehensive,33,Days,33,Days,70,74,425.00,850.00,850.00,354.00,708.00,708.00,287.00,574.00,574.00,218.00,436.00,436.00,,,
1Cover,Comprehensive,34,Days,34,Days,70,74,435.00,870.00,870.00,365.00,730.00,730.00,291.00,582.00,582.00,225.00,450.00,450.00,,,
1Cover,Comprehensive,35,Days,35,Days,70,74,459.00,918.00,918.00,395.00,790.00,790.00,309.00,618.00,618.00,245.00,490.00,490.00,,,
1Cover,Comprehensive,36,Days,36,Days,70,74,483.00,966.00,966.00,405.00,810.00,810.00,319.00,638.00,638.00,255.00,510.00,510.00,,,
1Cover,Comprehensive,37,Days,37,Days,70,74,493.00,986.00,986.00,409.00,818.00,818.00,329.00,658.00,658.00,259.00,518.00,518.00,,,
1Cover,Comprehensive,38,Days,38,Days,70,74,499.00,998.00,998.00,413.00,826.00,826.00,339.00,678.00,678.00,263.00,526.00,526.00,,,
1Cover,Comprehensive,39,Days,39,Days,70,74,505.00,1010.00,1010.00,417.00,834.00,834.00,349.00,698.00,698.00,267.00,534.00,534.00,,,
1Cover,Comprehensive,40,Days,40,Days,70,74,509.00,1018.00,1018.00,421.00,842.00,842.00,359.00,718.00,718.00,271.00,542.00,542.00,,,
