POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
1st For Women,Ruby,124,Days,153,Days,16,54,460.7,875.33,921.4,310.25,589.48,620.5,282.2,536.18,564.4,247.35,469.97,494.7,,,
1st For Women,Ruby,154,Days,184,Days,16,54,523.6,994.84,1047.2,361.25,686.38,722.5,332.35,631.47,664.7,266.9,507.11,533.8,,,
1st For Women,Ruby,185,Days,215,Days,16,54,578,1098.2,1156,412.25,783.28,824.5,365.5,694.45,731,293.25,557.18,586.5,,,
1st For Women,Ruby,216,Days,245,Days,16,54,646,1227.4,1292,470.05,893.1,940.1,400.35,760.67,800.7,333.2,633.08,666.4,,,
1st For Women,Ruby,246,Days,276,Days,16,54,728.45,1384.06,1456.9,510,969,1020,446.25,847.88,892.5,375.7,713.83,751.4,,,
1st For Women,Ruby,277,Days,306,Days,16,54,780.3,1482.57,1560.6,550.8,1046.52,1101.6,481.95,915.71,963.9,401.2,762.28,802.4,,,
1st For Women,Ruby,307,Days,337,Days,16,54,826.2,1569.78,1652.4,571.2,1085.28,1142.4,508.3,965.77,1016.6,432.65,822.04,865.3,,,
1st For Women,Ruby,338,Days,366,Days,16,54,900.15,1710.29,1800.3,608.6,1156.34,1217.2,546.55,1038.45,1093.1,470.05,893.1,940.1,,,
1st For Women,Ruby,1,Days,5,Days,55,64,66.05,125.8,132.09,52.66,100.3,105.32,41.06,78.2,82.11,41.06,78.2,82.11,,,
1st For Women,Ruby,6,Days,7,Days,55,64,72.29,137.7,144.59,55.34,105.4,110.67,49.09,93.5,98.18,44.63,85,89.25,,,
1st For Women,Ruby,8,Days,14,Days,55,64,93.71,178.5,187.43,68.72,130.9,137.45,63.37,120.7,126.74,58.01,110.5,116.03,,,
1st For Women,Ruby,15,Days,21,Days,55,64,132.09,251.6,264.18,95.5,181.9,191,83,158.1,166.01,75.86,144.5,151.73,,,
1st For Women,Ruby,22,Days,28,Days,55,64,162.44,309.4,324.87,113.35,215.9,226.7,99.96,190.4,199.92,93.71,178.5,187.43,,,
1st For Women,Ruby,29,Days,35,Days,55,64,190.1,362.1,380.21,139.23,265.2,278.46,107.1,204,214.2,101.75,193.8,203.49,,,
1st For Women,Ruby,36,Days,42,Days,55,64,232.94,443.7,465.89,166.9,317.9,333.8,133.88,255,267.75,114.24,217.6,228.48,,,
1st For Women,Ruby,43,Days,62,Days,55,64,257.93,491.3,515.87,200.81,382.5,401.63,174.04,331.5,348.08,139.23,265.2,278.46,,,
1st For Women,Ruby,63,Days,92,Days,55,64,346.29,659.6,692.58,242.76,462.4,485.52,224.02,426.7,448.04,195.46,372.3,390.92,,,
1st For Women,Ruby,93,Days,123,Days,55,64,419.48,799,838.95,293.63,559.3,587.27,262.4,499.8,524.79,224.02,426.7,448.04,,,
1st For Women,Ruby,124,Days,153,Days,55,64,483.74,921.4,967.47,325.76,620.5,651.53,296.31,564.4,592.62,259.72,494.7,519.44,,,
1st For Women,Ruby,154,Days,184,Days,55,64,549.78,1047.2,1099.56,379.31,722.5,758.63,348.97,664.7,697.94,280.25,533.8,560.49,,,
1st For Women,Ruby,185,Days,215,Days,55,64,606.9,1156,1213.8,432.86,824.5,865.73,383.78,731,767.55,307.91,586.5,615.83,,,
1st For Women,Ruby,216,Days,245,Days,55,64,678.3,1292,1356.6,493.55,940.1,987.11,420.37,800.7,840.74,349.86,666.4,699.72,,,
1st For Women,Ruby,246,Days,276,Days,55,64,764.87,1456.9,1529.75,535.5,1020,1071,468.56,892.5,937.13,394.49,751.4,788.97,,,
1st For Women,Ruby,277,Days,306,Days,55,64,819.32,1560.6,1638.63,578.34,1101.6,1156.68,506.05,963.9,1012.1,421.26,802.4,842.52,,,
1st For Women,Ruby,307,Days,337,Days,55,64,867.51,1652.4,1735.02,599.76,1142.4,1199.52,533.72,1016.6,1067.43,454.28,865.3,908.57,,,
1st For Women,Ruby,338,Days,366,Days,55,64,945.16,1800.3,1890.32,639.03,1217.2,1278.06,573.88,1093.1,1147.76,493.55,940.1,987.11,,,
1st For Women,Ruby,1,Days,5,Days,65,74,94.35,182.41,188.7,75.23,145.44,150.45,58.65,113.39,117.3,58.65,113.39,117.3,,,
1st For Women,Ruby,6,Days,7,Days,65,74,103.28,199.67,206.55,79.05,152.83,158.1,70.13,135.58,140.25,63.75,123.25,127.5,,,
1st For Women,Ruby,8,Days,14,Days,65,74,133.88,258.83,267.75,98.18,189.81,196.35,90.53,175.02,181.05,82.88,160.23,165.75,,,
1st For Women,Ruby,15,Days,21,Days,65,74,188.7,364.82,377.4,136.43,263.76,272.85,118.58,229.25,237.15,108.38,209.53,216.75,,,
1st For Women,Ruby,22,Days,28,Days,65,74,232.05,448.63,464.1,161.93,313.06,323.85,142.8,276.08,285.6,133.88,258.83,267.75,,,
1st For Women,Ruby,29,Days,35,Days,65,74,271.58,525.05,543.15,198.9,384.54,397.8,153,295.8,306,145.35,281.01,290.7,,,
1st For Women,Ruby,36,Days,42,Days,65,74,332.78,643.37,665.55,238.43,460.96,476.85,191.25,369.75,382.5,163.2,315.52,326.4,,,
1st For Women,Ruby,43,Days,62,Days,65,74,368.48,712.39,736.95,286.88,554.63,573.75,248.63,480.68,497.25,198.9,384.54,397.8,,,
1st For Women,Ruby,63,Days,92,Days,65,74,494.7,956.42,989.4,346.8,670.48,693.6,320.03,618.72,640.05,279.23,539.84,558.45,,,
1st For Women,Ruby,93,Days,123,Days,65,74,599.25,1158.55,1198.5,419.48,810.99,838.95,374.85,724.71,749.7,320.03,618.72,640.05,,,
1st For Women,Ruby,124,Days,153,Days,65,74,691.05,1336.03,1382.1,465.38,899.73,930.75,423.3,818.38,846.6,371.03,717.32,742.05,,,
1st For Women,Ruby,154,Days,184,Days,65,74,785.4,1518.44,1570.8,541.88,1047.63,1083.75,498.53,963.82,997.05,400.35,774.01,800.7,,,
1st For Women,Ruby,185,Days,215,Days,65,74,867,1676.2,1734,618.38,1195.53,1236.75,548.25,1059.95,1096.5,439.88,850.43,879.75,,,
1st For Women,Ruby,216,Days,245,Days,65,74,969,1873.4,1938,705.08,1363.15,1410.15,600.53,1161.02,1201.05,499.8,966.28,999.6,,,
1st For Women,Ruby,246,Days,276,Days,65,74,1092.68,2112.51,2185.35,765,1479,1530,669.38,1294.13,1338.75,563.55,1089.53,1127.1,,,
1st For Women,Ruby,277,Days,306,Days,65,74,1170.45,2262.87,2340.9,826.2,1597.32,1652.4,722.93,1397.66,1445.85,601.8,1163.48,1203.6,,,
1st For Women,Ruby,307,Days,337,Days,65,74,1239.3,2395.98,2478.6,856.8,1656.48,1713.6,762.45,1474.07,1524.9,648.98,1254.69,1297.95,,,
1st For Women,Ruby,338,Days,366,Days,65,74,1350.23,2610.44,2700.45,912.9,1764.94,1825.8,819.83,1585,1639.65,705.08,1363.15,1410.15,,,
1st For Women,Topaz,1,Days,5,Days,16,54,55.25,104.98,110.5,42.5,80.75,85,37.4,71.06,74.8,31.45,59.76,62.9,,,
1st For Women,Topaz,6,Days,7,Days,16,54,62.05,117.9,124.1,46.75,88.83,93.5,40.8,77.52,81.6,34,64.6,68,,,
1st For Women,Topaz,8,Days,14,Days,16,54,79.05,150.2,158.1,61.2,116.28,122.4,52.7,100.13,105.4,47.6,90.44,95.2,,,
1st For Women,Topaz,15,Days,21,Days,16,54,111.35,211.57,222.7,81.6,155.04,163.2,68,129.2,136,64.6,122.74,129.2,,,
1st For Women,Topaz,22,Days,28,Days,16,54,140.25,266.48,280.5,95.2,180.88,190.4,82.45,156.66,164.9,77.35,146.97,154.7,,,
1st For Women,Topaz,29,Days,35,Days,16,54,162.35,308.47,324.7,118.15,224.49,236.3,89.25,169.58,178.5,84.15,159.89,168.3,,,
1st For Women,Topaz,36,Days,42,Days,16,54,205.7,390.83,411.4,138.55,263.25,277.1,113.9,216.41,227.8,93.5,177.65,187,,,
1st For Women,Topaz,43,Days,62,Days,16,54,216.75,411.83,433.5,168.3,319.77,336.6,148.75,282.63,297.5,117.3,222.87,234.6,,,
1st For Women,Topaz,63,Days,92,Days,16,54,284.75,541.03,569.5,202.3,384.37,404.6,191.25,363.38,382.5,158.1,300.39,316.2,,,
