POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Kango-Cover,Eastern Grey,1,Days,4,Days,60,64,72.00,136.80,136.80,56.00,106.40,106.40,56.00,106.40,106.40,41.00,77.90,77.90
Kango-Cover,Eastern Grey,5,Days,8,Days,60,64,109.00,207.10,207.10,82.00,155.80,155.80,79.00,150.10,150.10,56.00,106.40,106.40
Kango-Cover,Eastern Grey,9,Days,12,Days,60,64,123.00,233.70,233.70,98.00,186.20,186.20,93.00,176.70,176.70,65.00,123.50,123.50
Kango-Cover,Eastern Grey,13,Days,17,Days,60,64,149.00,283.10,283.10,108.00,205.20,205.20,103.00,195.70,195.70,73.00,138.70,138.70
Kango-Cover,Eastern Grey,18,Days,24,Days,60,64,177.00,336.30,336.30,134.00,254.60,254.60,129.00,245.10,245.10,95.00,180.50,180.50
Kango-Cover,Eastern Grey,25,Days,31,Days,60,64,225.00,427.50,427.50,170.00,323.00,323.00,162.00,307.80,307.80,109.00,207.10,207.10
Kango-Cover,Eastern Grey,32,Days,35,Days,60,64,259.00,492.10,492.10,186.00,353.40,353.40,179.00,340.10,340.10,127.00,241.30,241.30
Kango-Cover,Eastern Grey,36,Days,45,Days,60,64,315.00,598.50,598.50,219.00,416.10,416.10,215.00,408.50,408.50,149.00,283.10,283.10
Kango-Cover,Eastern Grey,46,Days,62,Days,60,64,385.00,731.50,731.50,272.00,516.80,516.80,259.00,492.10,492.10,187.00,355.30,355.30
Kango-Cover,Eastern Grey,63,Days,92,Days,60,64,505.00,959.50,959.50,351.00,666.90,666.90,333.00,632.70,632.70,260.00,494.00,494.00
Kango-Cover,Eastern Grey,93,Days,123,Days,60,64,597.00,1134.30,1134.30,407.00,773.30,773.30,385.00,731.50,731.50,299.00,568.10,568.10
Kango-Cover,Eastern Grey,124,Days,153,Days,60,64,693.00,1316.70,1316.70,473.00,898.70,898.70,453.00,860.70,860.70,347.00,659.30,659.30
