POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Webjet,Comprehensive Cover,45,Days,45,Days,16,75,233.66,443.96,467.33,184.65,350.84,369.3,164.13,311.85,328.27,135.41,257.28,270.82,129.94,246.88,259.88,,,,,,
Webjet,Comprehensive Cover,46,Days,46,Days,16,75,237.33,450.93,474.67,187.55,356.35,375.1,166.71,316.75,333.42,137.54,261.32,275.08,131.98,250.76,263.96,,,,,,
Webjet,Comprehensive Cover,47,Days,47,Days,16,75,241,457.9,481.99,190.45,361.85,380.89,169.29,321.64,338.57,139.66,265.36,279.32,134.02,254.63,268.04,,,,,,
Webjet,Comprehensive Cover,48,Days,48,Days,16,75,244.65,464.84,489.31,193.34,367.34,386.67,171.85,326.52,343.71,141.78,269.38,283.56,136.05,258.5,272.1,,,,,,
Webjet,Comprehensive Cover,49,Days,49,Days,16,75,248.3,471.77,496.6,196.22,372.82,392.44,174.42,331.39,348.83,143.89,273.4,287.79,138.08,262.35,276.16,,,,,,
Webjet,Comprehensive Cover,50,Days,50,Days,16,75,251.94,478.69,503.89,199.1,378.28,398.19,176.97,336.25,353.95,146,277.41,292.01,140.11,266.2,280.21,,,,,,
Webjet,Comprehensive Cover,51,Days,51,Days,16,75,255.58,485.6,511.15,201.97,383.74,403.94,179.53,341.1,359.05,148.11,281.41,296.22,142.13,270.04,284.25,,,,,,
Webjet,Comprehensive Cover,52,Days,52,Days,16,75,259.2,492.49,518.41,204.83,389.18,409.67,182.07,345.94,364.15,150.21,285.4,300.42,144.14,273.87,288.28,,,,,,
Webjet,Comprehensive Cover,53,Days,53,Days,16,75,262.82,499.36,525.64,207.69,394.62,415.39,184.62,350.77,369.23,152.31,289.39,304.62,146.15,277.69,292.31,,,,,,
Webjet,Comprehensive Cover,54,Days,54,Days,16,75,266.43,506.22,532.87,210.55,400.04,421.09,187.15,355.59,374.31,154.4,293.36,308.8,148.16,281.51,296.33,,,,,,
Webjet,Comprehensive Cover,55,Days,55,Days,16,75,270.04,513.07,540.07,213.39,405.45,426.79,189.68,360.4,379.37,156.49,297.33,312.98,150.17,285.32,300.33,,,,,,
Webjet,Comprehensive Cover,56,Days,56,Days,16,75,273.63,519.9,547.26,216.24,410.85,432.47,192.21,365.2,384.42,158.57,301.29,317.15,152.17,289.12,304.33,,,,,,
Webjet,Comprehensive Cover,57,Days,57,Days,16,75,277.22,526.72,554.44,219.07,416.24,438.14,194.73,369.99,389.46,160.65,305.24,321.31,154.16,292.91,308.32,,,,,,
Webjet,Comprehensive Cover,58,Days,58,Days,16,75,280.8,533.52,561.6,221.9,421.61,443.8,197.25,374.77,394.49,162.73,309.18,325.46,156.15,296.69,312.31,,,,,,
Webjet,Comprehensive Cover,59,Days,59,Days,16,75,284.38,540.31,568.75,224.73,426.98,449.45,199.76,379.54,399.51,164.8,313.12,329.6,158.14,300.47,316.28,,,,,,
Webjet,Comprehensive Cover,60,Days,60,Days,16,75,287.94,547.09,575.88,227.54,432.33,455.09,202.26,384.3,404.52,166.87,317.04,333.73,160.12,304.23,320.25,,,,,,
Webjet,Comprehensive Cover,61,Days,61,Days,16,75,291.5,553.85,583,230.36,437.68,460.71,204.76,389.05,409.52,168.93,320.96,337.86,162.1,307.99,324.2,,,,,,
Webjet,Comprehensive Cover,62,Days,62,Days,16,75,295.05,560.6,590.1,233.16,443.01,466.32,207.26,393.79,414.51,170.99,324.87,341.97,164.08,311.75,328.15,,,,,,
Webjet,Comprehensive Cover,63,Days,63,Days,16,75,298.59,567.33,597.19,235.96,448.33,471.92,209.74,398.51,419.49,173.04,328.77,346.08,166.05,315.49,332.1,,,,,,
Webjet,Comprehensive Cover,64,Days,64,Days,16,75,302.13,574.05,604.26,238.76,453.64,477.51,212.23,403.23,424.46,175.09,332.67,350.18,168.01,319.23,336.03,,,,,,
Webjet,Comprehensive Cover,65,Days,65,Days,16,75,305.66,580.75,611.32,241.54,458.94,483.09,214.71,407.94,429.41,177.13,336.55,354.27,169.98,322.95,339.95,,,,,,
Webjet,Comprehensive Cover,66,Days,66,Days,16,75,309.18,587.44,618.36,244.33,464.22,488.65,217.18,412.64,434.36,179.17,340.43,358.35,171.93,326.67,343.87,,,,,,
Webjet,Comprehensive Cover,67,Days,67,Days,16,75,312.69,594.12,625.39,247.1,469.5,494.21,219.65,417.33,439.3,181.21,344.3,362.42,173.89,330.39,347.78,,,,,,
Webjet,Comprehensive Cover,68,Days,68,Days,16,75,316.2,600.78,632.4,249.87,474.76,499.75,222.11,422.01,444.22,183.24,348.16,366.48,175.84,334.09,351.67,,,,,,
Webjet,Comprehensive Cover,69,Days,69,Days,16,75,319.7,607.42,639.39,252.64,480.01,505.28,224.57,426.68,449.14,185.27,352.01,370.54,177.78,337.79,355.57,,,,,,
Webjet,Comprehensive Cover,70,Days,70,Days,16,75,323.19,614.06,646.38,255.4,485.26,510.8,227.02,431.34,454.04,187.29,355.85,374.58,179.72,341.48,359.45,,,,,,
Webjet,Comprehensive Cover,71,Days,71,Days,16,75,326.67,620.68,653.34,258.15,490.49,516.3,229.47,435.99,458.93,189.31,359.69,378.62,181.66,345.16,363.32,,,,,,
Webjet,Comprehensive Cover,72,Days,72,Days,16,75,330.15,627.28,660.29,260.9,495.7,521.79,231.91,440.63,463.82,191.32,363.52,382.65,183.59,348.83,367.19,,,,,,
Webjet,Comprehensive Cover,73,Days,73,Days,16,75,333.62,633.87,667.23,263.64,500.91,527.28,234.34,445.25,468.69,193.33,367.34,386.67,185.52,352.49,371.05,,,,,,
Webjet,Comprehensive Cover,74,Days,74,Days,16,75,337.08,640.45,674.15,266.37,506.11,532.75,236.78,449.87,473.55,195.34,371.15,390.68,187.45,356.15,374.89,,,,,,
Webjet,Comprehensive Cover,75,Days,75,Days,16,75,340.53,647.01,681.06,269.1,511.29,538.2,239.2,454.48,478.4,197.34,374.95,394.68,189.37,359.8,378.74,,,,,,
Webjet,Comprehensive Cover,76,Days,76,Days,16,75,343.98,653.55,687.95,271.82,516.47,543.65,241.62,459.08,483.24,199.34,378.74,398.68,191.28,363.44,382.57,,,,,,
Webjet,Comprehensive Cover,77,Days,77,Days,16,75,347.41,660.09,694.83,274.54,521.63,549.08,244.04,463.67,488.07,201.33,382.53,402.66,193.2,367.07,386.39,,,,,,
Webjet,Comprehensive Cover,78,Days,78,Days,16,75,350.84,666.6,701.69,277.25,526.78,554.51,246.45,468.25,492.89,203.32,386.31,406.64,195.1,370.7,390.21,,,,,,
Webjet,Comprehensive Cover,79,Days,79,Days,16,75,354.27,673.11,708.54,279.96,531.92,559.92,248.85,472.82,497.7,205.3,390.07,410.61,197.01,374.31,394.02,,,,,,
Webjet,Comprehensive Cover,80,Days,80,Days,16,75,357.68,679.6,715.37,282.66,537.05,565.31,251.25,477.38,502.5,207.28,393.84,414.56,198.91,377.92,397.81,,,,,,
