POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Fast Cover,Comprehensive,9,Days,12,Days,70,74,147.9,281,295.8,133.9,254.4,267.8,118.9,225.9,237.8,99.9,189.8,199.8,,,
Fast Cover,Comprehensive,13,Days,15,Days,70,74,156.9,298.1,313.8,140.9,267.7,281.8,125.9,239.2,251.8,105.9,201.2,211.8,,,
Fast Cover,Comprehensive,16,Days,18,Days,70,74,172.9,328.5,345.8,155.9,296.2,311.8,137.9,262,275.8,115.9,220.2,231.8,,,
Fast Cover,Comprehensive,19,Days,21,Days,70,74,219.9,417.8,439.8,197.9,376,395.8,175.9,334.2,351.8,147.9,281,295.8,,,
Fast Cover,Comprehensive,22,Days,24,Days,70,74,231.9,440.6,463.8,208.9,396.9,417.8,185.9,353.2,371.8,156.9,298.1,313.8,,,
Fast Cover,Comprehensive,25,Days,28,Days,70,74,276.9,526.1,553.8,238.9,453.9,477.8,220.9,419.7,441.8,185.9,353.2,371.8,,,
Fast Cover,Comprehensive,29,Days,32,Days,70,74,306.9,583.1,613.8,264.9,503.3,529.8,244.9,465.3,489.8,205.9,391.2,411.8,,,
Fast Cover,Comprehensive,33,Days,35,Days,70,74,331.9,630.6,663.8,287.9,547,575.8,265.9,505.2,531.8,223.9,425.4,447.8,,,
Fast Cover,Comprehensive,36,Days,40,Days,70,74,346.9,659.1,693.8,299.9,569.8,599.8,277.9,528,555.8,232.9,442.5,465.8,,,
Fast Cover,Comprehensive,41,Days,45,Days,70,74,397.9,756,795.8,343.9,653.4,687.8,317.9,604,635.8,267.9,509,535.8,,,
Fast Cover,Comprehensive,46,Days,54,Days,70,74,421.9,801.6,843.8,364.9,693.3,729.8,337.9,642,675.8,283.9,539.4,567.8,,,
Fast Cover,Comprehensive,55,Days,62,Days,70,74,465.9,885.2,931.8,402.9,765.5,805.8,371.9,706.6,743.8,312.9,594.5,625.8,,,
Fast Cover,Comprehensive,63,Days,92,Days,70,74,618.9,1175.9,1237.8,534.9,1016.3,1069.8,494.9,940.3,989.8,415.9,790.2,831.8,,,
Fast Cover,Comprehensive,93,Days,123,Days,70,74,711.9,1352.6,1423.8,616.9,1172.1,1233.8,569.9,1082.8,1139.8,479.9,911.8,959.8,,,
Fast Cover,Comprehensive,124,Days,153,Days,70,74,816.9,1552.1,1633.8,706.9,1343.1,1413.8,653.9,1242.4,1307.8,549.9,1044.8,1099.8,,,
Fast Cover,Comprehensive,154,Days,184,Days,70,74,944.9,1795.3,1889.8,817.9,1554,1635.8,755.9,1436.2,1511.8,635.9,1208.2,1271.8,,,
Fast Cover,Comprehensive,185,Days,215,Days,70,74,1034.9,1966.3,2069.8,895.9,1702.2,1791.8,827.9,1573,1655.8,695.9,1322.2,1391.8,,,
Fast Cover,Comprehensive,216,Days,245,Days,70,74,1139.9,2165.8,2279.8,986.9,1875.1,1973.8,911.9,1732.6,1823.8,766.9,1457.1,1533.8,,,
Fast Cover,Comprehensive,246,Days,276,Days,70,74,1234.9,2346.3,2469.8,1068.9,2030.9,2137.8,987.9,1877,1975.8,830.9,1578.7,1661.8,,,
Fast Cover,Comprehensive,277,Days,306,Days,70,74,1303.9,2477.4,2607.8,1128.9,2144.9,2257.8,1042.9,1981.5,2085.8,876.9,1666.1,1753.8,,,
Fast Cover,Comprehensive,307,Days,337,Days,70,74,1372.9,2608.5,2745.8,1187.9,2257,2375.8,1097.9,2086,2195.8,923.9,1755.4,1847.8,,,
Fast Cover,Comprehensive,338,Days,366,Days,70,74,1480.9,2813.7,2961.8,1281.9,2435.6,2563.8,1185.9,2253.2,2371.8,996.9,1894.1,1993.8,,,
Fast Cover,Comprehensive,1,Days,5,Days,75,79,156.9,298.1,313.8,140.9,267.7,281.8,125.9,239.2,251.8,105.9,201.2,211.8,,,
Fast Cover,Comprehensive,6,Days,8,Days,75,79,166.9,317.1,333.8,150.9,286.7,301.8,133.9,254.4,267.8,112.9,214.5,225.8,,,
Fast Cover,Comprehensive,9,Days,12,Days,75,79,204.9,389.3,409.8,183.9,349.4,367.8,163.9,311.4,327.8,137.9,262,275.8,,,
Fast Cover,Comprehensive,13,Days,15,Days,75,79,216.9,412.1,433.8,194.9,370.3,389.8,172.9,328.5,345.8,145.9,277.2,291.8,,,
Fast Cover,Comprehensive,16,Days,18,Days,75,79,238.9,453.9,477.8,214.9,408.3,429.8,190.9,362.7,381.8,160.9,305.7,321.8,,,
Fast Cover,Comprehensive,19,Days,21,Days,75,79,303.9,577.4,607.8,272.9,518.5,545.8,242.9,461.5,485.8,203.9,387.4,407.8,,,
Fast Cover,Comprehensive,22,Days,24,Days,75,79,320.9,609.7,641.8,288.9,548.9,577.8,256.9,488.1,513.8,215.9,410.2,431.8,,,
Fast Cover,Comprehensive,25,Days,28,Days,75,79,381.9,725.6,763.8,330.9,628.7,661.8,305.9,581.2,611.8,256.9,488.1,513.8,,,
Fast Cover,Comprehensive,29,Days,32,Days,75,79,422.9,803.5,845.8,365.9,695.2,731.8,338.9,643.9,677.8,284.9,541.3,569.8,,,
Fast Cover,Comprehensive,33,Days,35,Days,75,79,458.9,871.9,917.8,396.9,754.1,793.8,366.9,697.1,733.8,308.9,586.9,617.8,,,
Fast Cover,Comprehensive,36,Days,40,Days,75,79,478.9,909.9,957.8,414.9,788.3,829.8,382.9,727.5,765.8,322.9,613.5,645.8,,,
Fast Cover,Comprehensive,41,Days,45,Days,75,79,548.9,1042.9,1097.8,474.9,902.3,949.8,439.9,835.8,879.8,369.9,702.8,739.8,,,
Fast Cover,Comprehensive,46,Days,54,Days,75,79,582.9,1107.5,1165.8,503.9,957.4,1007.8,465.9,885.2,931.8,391.9,744.6,783.8,,,
Fast Cover,Comprehensive,55,Days,62,Days,75,79,642.9,1221.5,1285.8,556.9,1058.1,1113.8,514.9,978.3,1029.8,432.9,822.5,865.8,,,
