POLICY,POLICY,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER ME,INSURER NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,50,days,56,days,18,59,177.2,354.4,354.4,143.77,287.55,287.55,122.58,245.17,245.17,95.88,191.76,191.76,92.23,184.46,184.46,108.55,217.11,217.11
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,57,days,63,days,18,59,186.91,373.81,373.81,152.05,304.1,304.1,133.51,267.01,267.01,106.2,212.39,212.39,102.56,205.12,205.12,120.71,241.42,241.42
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,64,days,70,days,18,59,204.5,409,409,165.67,331.33,331.33,145.64,291.28,291.28,112.88,225.76,225.76,107.41,214.83,214.83,126.42,252.84,252.84
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,71,days,77,days,18,59,225.14,450.29,450.29,170.99,341.98,341.98,160.81,321.63,321.63,124.4,248.81,248.81,119.55,239.1,239.1,140.71,281.41,281.41
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,78,days,84,days,18,59,228.78,457.56,457.56,174.55,349.09,349.09,164.46,328.92,328.92,133.51,267.01,267.01,128.04,256.08,256.08,150.7,301.4,301.4
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,85,days,91,days,18,59,230.6,461.2,461.2,176.32,352.63,352.63,166.27,332.54,332.54,138.36,276.72,276.72,131.69,263.37,263.37,154.99,309.98,309.98
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,92,days,120,days,18,59,277.93,555.86,555.86,213,425.99,425.99,200.87,401.74,401.74,156.56,313.13,313.13,150.49,300.99,300.99,177.13,354.25,354.25
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,121,days,150,days,18,59,324.06,648.11,648.11,247.32,494.64,494.64,230.6,461.2,461.2,182.05,364.11,364.11,174.77,349.54,349.54,205.7,411.39,411.39
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,151,days,180,days,18,59,372.59,745.19,745.19,284,568,568,265.19,530.38,530.38,201.47,402.95,402.95,200.87,401.74,401.74,236.42,472.83,472.83
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,181,days,210,days,18,59,422.97,845.94,845.94,323.05,646.11,646.11,303.42,606.84,606.84,239.7,479.4,479.4,228.78,457.56,457.56,269.27,538.53,538.53
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,211,days,240,days,18,59,466.05,932.1,932.1,355,710,710,333.15,666.3,666.3,263.98,527.95,527.95,253.05,506.11,506.11,297.84,595.67,595.67
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,241,days,270,days,18,59,512.78,1025.56,1025.56,390.51,781.02,781.02,365.92,731.85,731.85,291.28,582.57,582.57,276.11,552.23,552.23,324.97,649.95,649.95
